Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga;Ciclo
0.1;;;AUTO;OFF;OFF;0
1.1;;;AUTO;OFF;OFF;0
2.1;3.930;0.000;AUTO;ON;OFF;0
3.1;4.166;0.000;AUTO;ON;OFF;0
4.1;4.166;0.000;AUTO;ON;OFF;0
5.1;4.168;0.000;AUTO;ON;OFF;0
6.1;4.168;0.000;AUTO;ON;OFF;0
7.1;4.170;0.000;AUTO;ON;OFF;0
8.1;4.170;0.000;AUTO;ON;OFF;0
9.1;4.171;0.000;AUTO;ON;OFF;0
10.2;4.172;0.000;AUTO;ON;OFF;0
11.2;4.173;0.000;AUTO;ON;OFF;0
12.2;4.173;0.000;AUTO;ON;OFF;0
13.2;4.171;0.000;AUTO;ON;OFF;0
14.2;4.171;0.000;AUTO;ON;OFF;0
15.2;4.170;0.000;AUTO;ON;OFF;0
16.2;4.170;0.000;AUTO;ON;OFF;0
17.2;4.170;0.000;AUTO;ON;OFF;0
18.2;4.167;0.000;AUTO;ON;OFF;0
19.3;4.167;0.000;AUTO;ON;OFF;0
20.3;4.168;0.000;AUTO;ON;OFF;0
21.3;4.166;0.000;AUTO;ON;OFF;0
22.3;4.168;0.000;AUTO;ON;OFF;0
23.3;4.166;0.000;AUTO;ON;OFF;0
24.3;4.166;0.000;AUTO;ON;OFF;0
25.3;4.167;0.000;AUTO;ON;OFF;0
26.3;4.168;0.000;AUTO;ON;OFF;0
27.3;4.166;0.000;AUTO;ON;OFF;0
28.3;4.166;0.000;AUTO;ON;OFF;0
29.4;4.163;0.000;AUTO;ON;OFF;0
30.4;4.165;0.000;AUTO;ON;OFF;0
31.4;4.163;0.000;AUTO;ON;OFF;0
32.4;4.163;0.000;AUTO;ON;OFF;0
33.4;4.164;0.000;AUTO;ON;OFF;0
34.4;4.164;0.000;AUTO;ON;OFF;0
35.4;4.161;0.000;AUTO;ON;OFF;0
36.4;4.161;0.000;AUTO;ON;OFF;0
37.4;4.163;0.000;AUTO;ON;OFF;0
38.4;4.164;0.000;AUTO;ON;OFF;0
39.5;4.164;0.000;AUTO;ON;OFF;0
40.5;4.164;0.000;AUTO;ON;OFF;0
41.5;4.145;0.000;AUTO;ON;OFF;0
42.5;4.150;0.000;AUTO;ON;OFF;0
43.5;4.155;0.000;AUTO;ON;OFF;0
44.5;4.139;0.000;AUTO;ON;OFF;0
45.5;4.140;0.000;AUTO;ON;OFF;0
