Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga;Ciclo
0.0;;;AUTO;OFF;OFF;0
1.1;;;AUTO;OFF;OFF;0
2.1;4.175;0.000;AUTO;ON;OFF;0
3.1;4.182;0.000;AUTO;ON;OFF;0
4.1;4.188;0.000;AUTO;ON;OFF;0
5.1;4.188;0.000;AUTO;ON;OFF;0
6.1;4.192;0.000;AUTO;ON;OFF;0
7.1;4.192;0.000;AUTO;ON;OFF;0
8.1;4.194;0.000;AUTO;ON;OFF;0
9.1;4.196;0.000;AUTO;ON;OFF;0
10.2;4.197;0.000;AUTO;ON;OFF;0
11.2;4.197;0.000;AUTO;ON;OFF;0
12.2;4.197;0.000;AUTO;ON;OFF;0
13.2;4.198;0.000;AUTO;ON;OFF;0
14.2;4.199;0.000;AUTO;ON;OFF;0
15.2;4.199;0.000;AUTO;ON;OFF;0
16.2;4.199;0.000;AUTO;ON;OFF;0
17.2;4.199;0.000;AUTO;ON;OFF;0
18.3;4.201;0.000;AUTO;OFF;ON;0
19.3;3.532;0.000;MANUAL;OFF;OFF;1
20.3;3.532;0.000;MANUAL;OFF;OFF;1
21.3;3.766;0.000;MANUAL;OFF;OFF;1
22.3;3.764;0.000;MANUAL;OFF;OFF;1
23.3;3.762;0.000;MANUAL;OFF;OFF;1
24.3;3.761;0.000;MANUAL;OFF;OFF;1
25.3;3.760;0.000;MANUAL;OFF;OFF;1
26.3;3.759;0.000;MANUAL;OFF;OFF;1
27.3;3.757;0.000;MANUAL;OFF;OFF;1
28.3;3.757;0.000;MANUAL;OFF;OFF;1
29.4;3.756;0.000;MANUAL;OFF;OFF;1
30.4;3.756;0.000;MANUAL;OFF;OFF;1
31.4;3.754;0.000;MANUAL;OFF;OFF;1
32.4;3.754;0.000;MANUAL;OFF;OFF;1
33.4;3.753;0.000;MANUAL;OFF;OFF;1
34.4;3.752;0.000;MANUAL;OFF;OFF;1
35.4;3.752;0.000;MANUAL;OFF;OFF;1
36.4;3.752;0.000;MANUAL;OFF;OFF;1
37.4;3.751;0.000;MANUAL;OFF;OFF;1
38.4;3.750;0.000;MANUAL;OFF;OFF;1
39.4;3.750;0.000;MANUAL;OFF;OFF;1
40.4;3.749;0.000;MANUAL;OFF;OFF;1
41.4;3.749;0.000;MANUAL;OFF;OFF;1
42.5;3.749;0.000;MANUAL;OFF;OFF;1
43.5;3.749;0.000;MANUAL;OFF;OFF;1
